file,old_permalink,old_slug,old_canonical,proposed_new_url
"_posts/crescita_personale_antiguru/antifragilita-e-perfezionismo/2025-08-26-iniziare-male-migliorare.md","/iniziare-male-migliorare/","iniziare-male-migliorare","https://messymind.it/iniziare-male-migliorare/",
"_posts/filosofia_pratica/decisioni-e-bias/bias-cognitivi.md","/bias-cognitivi/","bias-cognitivi","https://messymind.blog/bias-cognitivi",
"_posts/mindfulness_ironica/pratiche-quotidiane-urbane/2025-09-08-vipassana-urbana.md","/mindfulness/vipassana-urbana/","vipassana-urbana","https://messymind.it/mindfulness/vipassana-urbana/",
"_posts/filosofia_pratica/decisioni-e-bias/libero-arbitrio.md",,"libero-arbitrio-determinismo","https://messymind.it/libero-arbitrio-determinismo/",
"_posts/mindfulness_ironica/osservazione-e-silenzio/2025-02-12-osservatore-e-osservato.md",,,"https://www.messymind.it/osservatore-e-osservato",
"_posts/mindfulness_ironica/pratiche-quotidiane-urbane/2025-08-12-come-meditare-senza-sedersi-a-gambe-incrociate.md",,"come-meditare-senza-sedersi-a-gambe-incrociate","https://messymind.it/equilibrio-interiore/come-meditare-senza-sederti-a-gambe-incrociate/",
"pages/categories/sub_cluster/filosofia-pratica/decisioni-e-bias.md","/filosofia-pratica/decisioni-e-bias/",,,
"_posts/mindfulness_ironica/osservazione-e-silenzio/2025-02-15-l'arte-del-silenzio.md",,,"https://www.messymind.it/silenzio-interiore-guida-sopravvivenza",
"pages/categories/sub_cluster/filosofia-pratica/scienza-e-metodo.md","/filosofia-pratica/scienza-e-metodo/",,,
"_posts/mindfulness_ironica/equilibrio-per-persone-normali/2024-10-13-la-felicita-non-è-un-linkedin-post.md","/equilibrio-interiore-5-mosse-pratiche/",,"https://www.messymind.blog/equilibrio-interiore-5-mosse-pratiche"" # self-referential",
"pages/categories/sub_cluster/burnout-lavoro/autenticita-in-ufficio.md","/burnout-lavoro/autenticita-in-ufficio/",,,
"_posts/mindfulness_ironica/equilibrio-per-persone-normali/2025-07-29-equilibrio-interiore-guida-pratica.md",,,"https://www.messymind.it/spiritualita/equilibrio/",
"pages/categories/sub_cluster/mindfulness-ironica/pratiche-quotidiane-urbane.md","/mindfulness-ironica/pratiche-quotidiane-urbane/",,,
"_posts/mindfulness_ironica/spiritualita-prudente/2025-05-11-kundalini.md","/spiritualita/risveglio-kundalini/",,"https://www.messymind.it/spiritualita/risveglio-kundalini/",
"pages/categories/sub_cluster/crescita-personale-anti-guru/antifragilita-e-perfezionismo.md","/crescita-personale-anti-guru/antifragilita-e-perfezionismo/",,,
"pages/categories/sub_cluster/burnout-lavoro/ritmi-gentili.md","/burnout-lavoro/ritmi-gentili/",,,
"pages/categories/sub_cluster/mindfulness-ironica/osservazione-e-silenzio.md","/mindfulness-ironica/osservazione-e-silenzio/",,,
"pages/categories/sub_cluster/mindfulness-ironica/equilibrio-interiore-per-persone-normali.md","/mindfulness-ironica/equilibrio-interiore-per-persone-normali/",,,
"pages/categories/sub_cluster/crescita-personale-anti-guru/felicita-realistica.md","/crescita-personale-anti-guru/felicita-realistica/",,,
"pages/categories/sub_cluster/crescita-personale-anti-guru/scelta-e-cuore.md","/crescita-personale-anti-guru/scelta-e-cuore/",,,
"pages/categories/sub_cluster/mindfulness-ironica/spiritualita-prudente.md","/mindfulness-ironica/spiritualita-prudente/",,,
"pages/categories/sub_cluster/crescita-personale-anti-guru/scopo-e-confini.md","/crescita-personale-anti-guru/scopo-e-confini/",,,
